neighbourhood,precio_promedio,disponibilidad_promedio,latitud,longitud,publicaciones,precio_normalizado,publicaciones_normalizado,color_publicaciones,color_precio
Agronomia,29138,222,-34.59428811206364,-58.48998204478437,40,0.06598987769372051,0.003038487508440243,#03bb85,#13d53f
Almagro,67240,209,-34.60508523892763,-58.421932938168226,1377,0.2910074470409676,0.11588453747467926,#29d099,#46ce54
Balvanera,74955,207,-34.606547482220094,-58.401372691989145,1323,0.3365696366245593,0.1113268062120189,#27d098,#6cb759
Barracas,185670,242,-34.63332308260994,-58.374162896480044,286,0.9904151090480662,0.023801485482781905,#0bbf89,#9e0721
Belgrano,63184,208,-34.55939070764487,-58.45507498106652,1961,0.26705407815554333,0.16517555705604323,#3adaa2,#33da51
Boedo,41667,228,-34.62679822829574,-58.41861046924794,133,0.13998192867140302,0.010887913571910872,#06bc86,#1ada45
Caballito,37181,205,-34.61637723412038,-58.44064823652881,791,0.11348912472169563,0.06642471303173532,#19c891,#18d943
Chacarita,33824,202,-34.58557501606674,-58.4487386685423,643,0.09366381423146655,0.053933153274814315,#14c58e,#16d741
Coghlan,49267,200,-34.5617189956005,-58.47286127019531,132,0.18486496701687247,0.010803511141120865,#06bc86,#1fde49
Colegiales,70710,214,-34.57432788231028,-58.448588819138976,851,0.31150009744343854,0.07148885887913572,#1ac891,#56c456
Constitucion,33463,223,-34.62143022506429,-58.381916902582,491,0.09153186991005675,0.04110398379473329,#10c28c,#16d741
Flores,32331,211,-34.62655400003186,-58.46270246513083,171,0.08484665946175787,0.014095205941931128,#07bd87,#15d740
Floresta,39343,209,-34.62884577971031,-58.48366465628118,48,0.12625716799839365,0.003713706954760297,#03bb85,#19da44
Liniers,34596,189,-34.64191859972421,-58.51857421818835,28,0.09822298602129582,0.002025658338960162,#03bb85,#16d842
Mataderos,32125,197,-34.653533019393294,-58.50138866340037,38,0.08363009289607805,0.0028696826468602296,#03bb85,#15d740
Monserrat,77078,219,-34.612738908969895,-58.37902185963643,1753,0.3491073590465898,0.14761985145172182,#33d69f,#76b15b
Monte Castro,29660,210,-34.61908215531759,-58.50655949487686,14,0.06907263374850144,0.0008440243079000675,#03bb85,#13d63f
Nueva Pompeya,20027,200,-34.6458935056269,-58.419220177966,16,0.012183382645618884,0.001012829169480081,#03bb85,#0ed23a
Nuñez,42191,208,-34.54863731088576,-58.46396601830597,766,0.14307649605206432,0.06431465226198514,#18c790,#1bdb45
Palermo,65733,214,-34.582351798083735,-58.4267312882836,11852,0.2821076129900962,1.0,#482b5a,#3fd253
Parque Avellaneda,53629,239,-34.64241869182618,-58.47654022016152,21,0.21062546876199587,0.0014348413234301148,#03bb85,#21df4b
