neighbourhood,room_type,precio_promedio,disponibilidad_promedio,lat_prom,lon_prom
San Nicolas,Hotel room,45658,122,-34.60676,-58.37892333333334
San Nicolas,Private room,105937,202,-34.6038048963196,-58.38347079157227
San Nicolas,Shared room,14769,253,-34.603821295904346,-58.38042066522262
San Telmo,Entire home/apt,45532,204,-34.62007676056003,-58.37215948744716
San Telmo,Hotel room,0,182,-34.618854999999996,-58.37268
San Telmo,Private room,1153286,219,-34.61992239025659,-58.372776730253534
San Telmo,Shared room,60000,73,-34.61830102159282,-58.37171121260087
Velez Sarsfield,Entire home/apt,40946,222,-34.630106058808416,-58.49530590596914
Velez Sarsfield,Private room,12670,73,-34.63643956320854,-58.48374176742454
Velez Sarsfield,Shared room,0,0,-34.63363,-58.48969
Versalles,Entire home/apt,64767,77,-34.63019786666667,-58.522408633333335
Versalles,Private room,35937,102,-34.629506170452345,-58.52103732432668
Villa Crespo,Entire home/apt,140530,206,-34.59725035042574,-58.438859202598685
Villa Crespo,Private room,31730,231,-34.59734948628316,-58.43898696148987
Villa Crespo,Shared room,99997,279,-34.5993831111789,-58.44181702374904
Villa Del Parque,Entire home/apt,35253,232,-34.60145950642553,-58.488363525736126
Villa Del Parque,Private room,58229,286,-34.602158041702545,-58.48977645074108
Villa Del Parque,Shared room,28365,179,-34.60328,-58.47962
Villa Devoto,Entire home/apt,36757,209,-34.59899741240014,-58.51198805588661
Villa Devoto,Private room,48747,269,-34.60382134740194,-58.51638195318219
Villa Devoto,Shared room,10000,90,-34.61288,-58.51106
Villa Gral. Mitre,Entire home/apt,31128,184,-34.6081353287363,-58.4678341033329
Villa Gral. Mitre,Private room,20486,238,-34.607517666666666,-58.47183533333333
Villa Lugano,Entire home/apt,33910,224,-34.6708618,-58.47571495
Villa Lugano,Private room,25007,320,-34.67004762397046,-58.47379874202811
Villa Luro,Entire home/apt,1457290,193,-34.63612799053274,-58.50260393438074
Villa Luro,Private room,16455,364,-34.641315000000006,-58.500425
Villa Luro,Shared room,11333,302,-34.64120206633766,-58.50025030199345
Villa Ortuzar,Entire home/apt,103706,210,-34.581232480075904,-58.46866070838192
Villa Ortuzar,Private room,31187,267,-34.581024654415906,-58.46890350385436
Villa Ortuzar,Shared room,11346,45,-34.58032980997463,-58.46114032982787
Villa Pueyrredon,Entire home/apt,29570,217,-34.58571373999729,-58.50228904452198
Villa Pueyrredon,Private room,16598,299,-34.58542295046219,-58.503074666376016
Villa Pueyrredon,Shared room,42548,268,-34.5852571,-58.4928672
Villa Real,Entire home/apt,26474,47,-34.62000501467816,-58.52596906849658
Villa Real,Private room,15714,182,-34.62081,-58.52897
Villa Riachuelo,Entire home/apt,26474,134,-34.68872318796474,-58.47685141838035
Villa Riachuelo,Private room,0,0,-34.68911,-58.47734
Villa Riachuelo,Shared room,9455,89,-34.68962,-58.47998
Villa Santa Rita,Entire home/apt,38070,187,-34.61308074672342,-58.48102167589023
Villa Santa Rita,Private room,19908,243,-34.61702671129007,-58.48270894992849
Villa Soldati,Private room,0,0,-34.65719,-58.44229
Villa Urquiza,Entire home/apt,33824,215,-34.57285599957195,-58.48504422713656
Villa Urquiza,Private room,31526,188,-34.57205841419423,-58.48813682913383
Villa Urquiza,Shared room,18910,365,-34.5752344,-58.4841073
